,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kyra,49.58,111.98,289.45,86,84,2.01,RU,1595526061
1,Thompson,55.74,-97.86,295.15,78,75,2.6,CA,1595526061
2,Ushuaia,-54.8,-68.3,277.15,69,75,3.1,AR,1595526061
3,Anamur,36.08,32.84,302.15,62,0,2.6,TR,1595526061
4,Ilulissat,69.22,-51.1,285.15,50,75,1.5,GL,1595526061
5,Iqaluit,63.75,-68.51,282.15,81,90,1.5,CA,1595526061
6,Kapaa,22.08,-159.32,299.15,83,40,4.6,US,1595525982
7,Cape Town,-33.93,18.42,289.82,93,0,1.5,ZA,1595526061
8,Mataura,-46.19,168.86,277.04,83,88,1.34,NZ,1595526062
9,Albac,46.45,22.97,296.15,69,40,2.1,RO,1595526140
10,Port Alfred,-33.59,26.89,290.83,48,0,3.79,ZA,1595526062
11,Vaini,-21.2,-175.2,293.15,100,75,2.6,TO,1595526140
12,Busselton,-33.65,115.33,280.93,73,4,1.46,AU,1595526140
13,Jamestown,42.1,-79.24,300.93,78,75,6.2,US,1595525944
14,Clonakilty,51.62,-8.87,294.15,60,75,4.6,IE,1595526062
15,Nago,26.59,127.98,301.15,83,1,2.6,JP,1595526062
16,Tura,25.52,90.22,297.14,97,100,2.46,IN,1595526062
17,Lumeje,-11.55,20.78,291.39,28,0,2.3,AO,1595526062
18,Barrow,71.29,-156.79,281.15,93,90,8.2,US,1595526063
19,Berlevåg,70.86,29.09,282.15,100,90,2.1,NO,1595526141
20,Marystown,47.17,-55.15,291.56,69,99,4.73,CA,1595526141
21,Naze,28.37,129.48,301.15,88,40,3.1,JP,1595526141
22,Longyearbyen,78.22,15.64,282.15,81,90,4.1,SJ,1595526141
23,College,64.86,-147.8,286.15,82,75,1.14,US,1595526063
24,Guerrero Negro,27.98,-114.06,295.61,60,81,5.94,MX,1595525942
25,Khatanga,71.97,102.5,278.77,86,100,8.16,RU,1595526063
26,Leningradskiy,69.38,178.42,280.71,72,96,6.19,RU,1595526063
27,Vao,-22.67,167.48,293.67,78,4,8.03,NC,1595526064
28,Pyapon,16.28,95.68,299.99,86,65,1.95,MM,1595526064
29,Coyhaique,-45.58,-72.07,269.15,79,90,1.5,CL,1595526142
30,Kaitangata,-46.28,169.85,277.59,74,62,2.24,NZ,1595526142
31,Marzuq,14.4,46.47,300.45,54,0,2.98,YE,1595526142
32,Shimoda,34.67,138.95,293.15,95,100,2.73,JP,1595526142
33,Saint Paul Harbor,57.79,-152.41,287.15,71,1,2.1,US,1595526064
34,Bandarbeyla,9.49,50.81,298.08,78,71,13.2,SO,1595526142
35,Tuktoyaktuk,69.45,-133.04,285.15,62,75,5.1,CA,1595526064
36,New Norfolk,-42.78,147.06,277.59,86,99,1.2,AU,1595526064
37,Mariehamn,60.1,19.93,288.15,58,72,2.6,AX,1595526065
38,Aklavik,68.22,-135.01,286.15,58,40,5.1,CA,1595526065
39,Albany,42.6,-73.97,302.04,76,69,2.32,US,1595526065
40,Hobart,-42.88,147.33,278.15,75,97,2.6,AU,1595526015
41,Olafsvik,64.89,-23.71,282.73,67,2,8.25,IS,1595526065
42,Bathsheba,13.22,-59.52,305.15,55,40,8.2,BB,1595526143
43,Rikitea,-23.12,-134.97,292.59,64,2,8.14,PF,1595526065
44,Şabyā,17.15,42.63,306.15,66,20,2.6,SA,1595526065
45,Manta,-0.95,-80.73,299.15,78,70,3.6,EC,1595526065
46,Launceston,-41.45,147.17,275.37,93,90,0.15,AU,1595526065
47,Majene,-3.54,118.97,298.32,84,100,6.19,ID,1595526143
48,Puerto Limón,10,-83.03,302.15,74,75,4.1,CR,1595526143
49,Illela,13.73,5.3,306.78,43,16,4.26,NG,1595526144
50,Mount Gambier,-37.83,140.77,277.15,80,76,4.6,AU,1595526144
51,Astoria,46.19,-123.83,288.71,87,90,1.5,US,1595526144
52,Bluff,-46.6,168.33,277.04,83,88,1.34,NZ,1595526144
53,Manokwari,-0.87,134.08,299.63,67,18,1.46,ID,1595526144
54,Husavik,66.04,-17.34,283.15,66,75,7.7,IS,1595526070
55,Yellowknife,62.46,-114.35,289.26,87,75,4.6,CA,1595526144
56,Teguise,29.06,-13.56,300.15,61,20,11.3,ES,1595526145
57,Dikson,73.51,80.55,278.3,87,18,3.4,RU,1595526145
58,Baruun-Urt,46.68,113.28,296.38,42,99,4.08,MN,1595526145
59,Alugan,12.22,125.48,301.13,78,86,1.88,PH,1595526145
60,Scarborough,54.28,-0.4,290.37,87,100,1.34,GB,1595526145
61,Asău,46.43,26.4,289.82,98,70,1.61,RO,1595526145
62,Lincoln,40.8,-96.67,304.26,66,1,5.7,US,1595525954
63,Prince Rupert,54.32,-130.32,286.15,93,90,2.1,CA,1595526077
64,Camacha,33.08,-16.33,295.15,68,75,5.7,PT,1595526146
65,Mar del Plata,-38,-57.56,286.48,100,90,3.1,AR,1595525893
66,Puerto Escondido,15.85,-97.07,303.15,70,40,3.1,MX,1595526146
67,Atuona,-9.8,-139.03,298.93,74,6,9.1,PF,1595526146
68,Mill Valley,37.91,-122.55,291.48,91,80,2.24,US,1595526142
69,Castro,-24.79,-50.01,296.41,46,20,2.88,BR,1595526146
70,Macklin,52.33,-109.93,298.99,59,51,1.71,CA,1595526065
71,Barguzin,53.62,109.62,287.77,85,83,1.8,RU,1595526146
72,Ribeira Grande,38.52,-28.7,296.15,69,20,2.6,PT,1595526147
73,Puerto Ayora,-0.74,-90.35,298.15,69,20,9.8,EC,1595526147
74,Gilleleje,56.12,12.31,291.48,67,27,5.43,DK,1595526147
75,Hermanus,-34.42,19.23,287.04,89,0,0.89,ZA,1595526147
76,Cabedelo,-6.98,-34.83,300.15,78,75,6.7,BR,1595526147
77,Sitka,57.05,-135.33,286.15,87,90,0.8,US,1595526139
78,Mandurah,-32.55,115.7,279.15,100,7,2.76,AU,1595526147
79,Biak,-0.91,122.88,297.51,84,65,3.36,ID,1595526148
80,Las Vegas,36.17,-115.14,308.71,17,1,4.6,US,1595526148
81,Mehamn,71.04,27.85,283.15,100,90,2.1,NO,1595526148
82,Araci,-11.33,-38.97,301.52,40,75,5.21,BR,1595526148
83,Hong Kong,22.29,114.16,302.04,83,26,3.29,HK,1595526148
84,Curuçá,-0.73,-47.85,300.62,84,40,2,BR,1595526148
85,Tatarsk,55.22,75.98,284.33,75,0,2.63,RU,1595526148
86,Henties Bay,-22.12,14.28,293.15,64,0,1.34,NA,1595526149
87,Esperance,-33.87,121.9,281.15,81,40,3.6,AU,1595526149
88,Severo-Yeniseyskiy,60.37,93.04,281.41,99,97,2.7,RU,1595526149
89,Payakumbuh,-0.22,100.63,294.36,89,100,0.71,ID,1595526149
90,Bétaré Oya,5.6,14.08,293.89,91,83,0.3,CM,1595526149
91,Ust-Nera,64.57,143.2,292.12,66,95,0.73,RU,1595526149
92,Dalbandin,28.89,64.41,304.9,22,5,5.87,PK,1595526149
93,Dwārka,22.24,68.97,302.46,80,52,6.66,IN,1595526149
94,Dwārka,22.24,68.97,302.46,80,52,6.66,IN,1595526149
95,Vila,42.03,-8.16,303.71,54,0,4.6,PT,1595526150
96,Karasjok,69.47,25.51,283.15,93,75,2.6,NO,1595526150
97,Talnakh,69.49,88.4,281.15,75,87,12,RU,1595526150
98,Tiksi,71.69,128.87,287.99,83,89,4.33,RU,1595526150
99,Yumen,40.28,97.2,297.16,36,98,1.55,CN,1595526150
100,Bengkulu,-3.8,102.27,297.5,89,99,2.04,ID,1595526150
101,Qaanaaq,77.48,-69.36,282.61,51,0,0.9,GL,1595526151
102,Lamu,-2.27,40.9,297.68,73,46,10.15,KE,1595526151
103,Nikolskoye,59.7,30.79,288.71,62,40,4,RU,1595526151
104,Cabo San Lucas,22.89,-109.91,304.82,69,5,6.7,MX,1595526151
105,Itarema,-2.92,-39.92,302.33,60,49,7.95,BR,1595526151
106,Lugovoy,42.95,72.76,299.97,26,66,4.26,KZ,1595526151
107,Sinnamary,5.38,-52.95,301.05,81,66,4.22,GF,1595526151
108,La Ronge,55.1,-105.28,295.15,88,75,3.1,CA,1595526151
109,Yuanping,38.72,112.76,292.51,78,86,0.36,CN,1595526151
110,Dhidhdhoo,6.88,73.1,300.87,81,100,6.83,MV,1595526152
